1,Happy,Feeling good
2,House,You live here
3,Rain,Falls from sky
4,Color,"Red, blue, green"
5,Flower,Smells nice
6,Funny,Makes you laugh
7,Mountain,Very tall rock
8,Planet,Earth is one
9,Rainbow,After rain
10,Animal,"Dog, cat, bear"
11,Delicious,Tastes good
12,Mysterious,Full of secrets
13,Gigantic,Very big
14,Symphony,Orchestra music
15,Courageous,Brave
16,Beach,Sand and sea
17,Bookworm,Loves to read
18,Delicious,Tastes good
19,Architect,Designs houses
20,Basketball,Orange ball
21,Birthday,Celebrate age
22,Butterfly,Has wings
23,Chocolate,Sweet treat
24,Clock,Tells time
25,Cloud,Fluffy in sky
26,Dance,Move to music
27,Dentist,Fixes teeth
28,Dictionary,Word meanings
29,Dinosaur,Extinct giant
30,Doctor,Cares for sick
31,Dream,Night thought
32,Earth,Blue planet
33,Education,Learning at school
34,Elephant,Big ears
35,Energy,Makes things move
36,Engineer,Builds bridges
37,Exciting,Makes you happy
38,Expensive,Costs a lot
39,Explore,Discover new things
40,Family,"Mom, dad, kids"
41,Fashion,Clothes style
42,Fearful,Feeling scared
43,Festival,Big celebration
44,Finger,Part of hand
45,Fire,Hot and burns
46,Fish,Lives in water
47,Flag,Represents country
48,Forest,Many trees
49,Forget,Can't remember
50,Friendly,
51,Phenomenon,Strange sight
52,Nostalgia,Missing past
53,Versatile,Many uses
54,Acropolis,Ancient Greek
55,Serendipity,Lucky find
56,Euphony,Pleasant sound
57,Stoic,Emotionless
58,Ephemeral,Short-lived
59,Nostalgia,Missing past
60,Connoisseur,Expert
61,Urban,City-related
62,Quirky,Unusual
63,Nostalgia,Missing past
64,Renaissance,Rebirth
65,Melodic,Pleasant sound
66,Nostalgia,Missing past
67,Monochromatic,Single color
68,Stoic,Emotionless
69,Vigorous,Energetic
70,Nostalgia,Missing past
71,Camouflage,Blends in
72,Nostalgia,Missing past
73,Archipelago,Many islands
74,Impromptu,Not planned
75,Connoisseur,Expert
76,Euphony,Pleasant sound
77,Stoic,Emotionless
78,Kaleidoscope,Colorful pattern
79,Nostalgia,Missing past
80,Renaissance,Rebirth
81,Melodic,Pleasant sound
82,Nostalgia,Missing past
83,Monochromatic,Single color
84,Tenacious,Doesn't give up
85,Nostalgia,Missing past
86,Constellation,Star patterns
87,Enigma,Mystery
88,Chronicle,Historical record
89,Vigorous,Energetic
90,Nostalgia,Missing past
91,Nostalgia,Missing past
92,Labyrinth,Maze
93,Connoisseur,Expert
94,Phenomenon,Strange sight
95,Versatile,Many uses
96,Acropolis,Ancient Greek
97,Serendipity,Lucky find
98,Euphony,Pleasant sound
99,Stoic,Emotionless
100,Ephemeral,Short-lived
101,Nostalgia,Missing past
102,Connoisseur,Expert
103,Urban,City-related
104,Quirky,Unusual
105,Renaissance,Rebirth
106,Melodic,Pleasant sound
107,Monochromatic,Single color
108,Stoic,Emotionless
109,Vigorous,Energetic
110,Nostalgia,Missing past
