1,Brobdingnagian,very large
2,Magnanimous,Generous
3,Epitome,Perfect example
4,Capricious,Impulsive
5,Labyrinthine,Complicated and confusing
6,Zealous,Fervent
7,Sagacious,Wise
8,Ineffable,Indescribable
9,Obfuscate,Confuse
10,Ostentatious,Showy
11,Gregarious,Sociable
12,Vehement,Intense
13,Aberration,Deviation from the norm
14,Alacrity,Eagerness
15,Ambivalent,Uncertain
16,Cacophony,Harsh noise
17,Copacetic,Perfectly satisfactory
18,Discombobulate,Confuse
19,Echelon,Level or rank in a hierarchy
20,Evanescent,Fleeting
21,Halcyon,Calm and peaceful
22,Incandescent,Glowing brightly
23,Desuetude,Disuse or discontinued use
24,Soporific,Tending to cause sleep
25,Laconic,Using very few words
26,Zenith,Highest point
27,Iconoclast,Someone who attacks cherished beliefs or institutions
28,Malleable,Able to be shaped or changed easily
29,Erudite,Having or showing great knowledge or learning
30,Sagacious,Having or showing sound judgment
31,Verisimilitude,The appearance of being true or real
32,Sanguine,Optimistic or cheerful
33,Numinous,Having a spiritual quality that inspires awe or reverence
34,Protean,Constantly changing or varied
